fid,id
"1","5022"
"2","5178"
"3","5203"
"4","5238"
"5","5295"
"6","5441"
"7","5803"
"8","6021"
"9","6090"
"10","6848"
"11","7322"
"12","7801"
"13","8024"
"14","8025"
"15","8700"
"16","9668"
"17","9704"
"18","9783"
"19","10452"
"20","10962"
"21","11943"
"22","12048"
"23","12318"
"24","12937"
"25","12940"
"26","13808"
"27","14287"
"28","14290"
"29","14377"
"30","14991"
"31","15341"
"32","15396"
"33","16338"
"34","16974"
"35","17092"
"36","17693"
"37","17747"
"38","18127"
"39","18728"
"40","19169"
"41","19282"
"42","19601"
"43","19812"
"44","20300"
"45","20724"
"46","20734"
"47","20755"
"48","20853"
"49","20913"
"50","21456"
"51","21794"
"52","22918"
"53","23686"
"54","24143"
"55","25406"
"56","25696"
"57","26520"
"58","26559"
"59","26785"
"60","26969"
"61","27006"
"62","27531"
"63","27644"
"64","27659"
"65","28321"
"66","28907"
"67","29455"
"68","29628"
"69","29683"
"70","30927"
"71","31130"
"72","31555"
"73","31994"
"74","32037"
"75","32289"
"76","32331"
"77","33009"
"78","35526"
"79","36703"
"80","38638"
"81","38663"
"82","39282"
"83","39593"
"84","40453"
"85","41348"
"86","41513"
"87","42580"
"88","43957"
"89","44221"
"90","44288"
"91","44506"
"92","45393"
"93","45542"
"94","45556"
"95","45940"
"96","46723"
"97","46911"
"98","47362"
"99","47370"
"100","48719"
"101","50447"
"102","51572"
"103","53196"
"104","54158"
"105","54466"
"106","54508"
"107","54860"
"108","55668"
"109","55737"
"110","55959"
"111","55982"
"112","57740"
"113","57754"
"114","57874"
"115","58059"
"116","59014"
"117","59121"
"118","59709"
"119","59855"
"120","60164"
"121","60457"
"122","60611"
"123","60673"
"124","60794"
"125","61167"
"126","61224"
"127","61406"
"128","61492"
"129","61509"
"130","62095"
"131","62430"
"132","62903"
"133","62925"
"134","63299"
"135","63360"
"136","63573"
"137","63913"
"138","64000"
"139","64707"
"140","65019"
"141","65562"
"142","65615"
"143","65813"
"144","65834"
"145","66008"
"146","66026"
"147","66275"
"148","66451"
"149","66718"
"150","66741"
"151","68305"
"152","68765"
"153","68900"
"154","68974"
"155","69894"
"156","69921"
"157","70095"
"158","70128"
"159","71010"
"160","71248"
"161","71366"
"162","71384"
"163","72190"
"164","72265"
"165","74073"
"166","74240"
"167","74404"
"168","74860"
"169","75635"
"170","76761"
"171","78919"
"172","79782"
"173","80924"
"174","83446"
"175","84659"
"176","85094"
"177","86215"
"178","89427"
"179","89621"
"180","94477"
"181","94783"
"182","95747"
"183","96471"
"184","98663"
"185","99070"
"186","99085"
"187","100186"
"188","101053"
"189","102995"
"190","105469"
"191","105510"
"192","107630"
"193","107895"
"194","110739"
"195","112100"
"196","112304"
"197","112359"
"198","113945"
"199","114229"
"200","114969"
"201","115535"
"202","117425"
"203","118680"
"204","120362"
"205","121861"
"206","123784"
"207","125053"
"208","126443"
"209","126816"
"210","131154"
"211","132695"
"212","133025"
"213","134934"
"214","135393"
"215","135465"
"216","136493"
"217","140425"
"218","141890"
"219","141984"
"220","144087"
"221","145064"
"222","145188"
"223","145994"
"224","147586"
"225","148201"
"226","148259"
"227","148825"
"228","149287"
"229","151199"
"230","154934"
"231","157673"
"232","158061"
"233","158290"
"234","159749"
"235","159815"
"236","159913"
"237","160609"
"238","160994"
"239","161366"
"240","161394"
"241","162508"
"242","164989"
"243","165080"
"244","165824"
"245","166006"
"246","166172"
"247","166983"
"248","167013"
"249","167017"
"250","167222"
"251","167482"
"252","169152"
"253","169306"
"254","169483"
"255","170761"
"256","172700"
"257","172870"
"258","173072"
"259","174527"
"260","176135"
"261","176653"
"262","177421"
"263","177495"
"264","179741"
"265","180507"
"266","180792"
"267","182069"
"268","182095"
"269","185266"
"270","187488"
"271","187986"
"272","188146"
"273","188661"
"274","188674"
"275","189732"
"276","189787"
"277","190267"
"278","190542"
"279","193333"
"280","193393"
"281","193853"
"282","194154"
"283","195123"
"284","195578"
"285","195989"
"286","196010"
"287","197753"
"288","199195"
"289","199312"
"290","200645"
"291","200955"
"292","203901"
"293","205043"
"294","205485"
"295","205735"
"296","206316"
"297","208148"
"298","211974"
"299","212178"
"300","212544"
"301","213330"
"302","215560"
"303","215784"
"304","215907"
"305","217580"
"306","219482"
"307","219793"
"308","219922"
"309","220351"
"310","221043"
"311","221097"
"312","221618"
"313","222304"
"314","224004"
"315","224006"
"316","224510"
"317","225297"
"318","225306"
"319","225887"
"320","225926"
"321","227715"
"322","228496"
"323","228517"
"324","228925"
"325","229874"
"326","230321"
"327","230877"
"328","231414"
"329","233638"
"330","233662"
"331","235651"
"332","235960"
"333","236671"
"334","237210"
"335","239055"
"336","239766"
"337","239883"
"338","239899"
"339","241140"
"340","241862"
"341","242532"
