fid,id
"1","2539"
"2","3647"
"3","3831"
"4","5022"
"5","5099"
"6","5121"
"7","5178"
"8","5203"
"9","5238"
"10","5295"
"11","5441"
"12","5803"
"13","6021"
"14","6090"
"15","6848"
"16","7322"
"17","7750"
"18","7801"
"19","8024"
"20","8025"
"21","8110"
"22","8490"
"23","8700"
"24","9357"
"25","9657"
"26","9668"
"27","9704"
"28","9783"
"29","10452"
"30","10962"
"31","11708"
"32","11943"
"33","12048"
"34","12299"
"35","12318"
"36","12343"
"37","12627"
"38","12937"
"39","12940"
"40","13394"
"41","13808"
"42","14287"
"43","14290"
"44","14314"
"45","14322"
"46","14377"
"47","14991"
"48","15220"
"49","15341"
"50","15385"
"51","15396"
"52","15711"
"53","16326"
"54","16338"
"55","16421"
"56","16458"
"57","16821"
"58","16974"
"59","17092"
"60","17693"
"61","17747"
"62","18127"
"63","18198"
"64","18728"
"65","18764"
"66","19159"
"67","19169"
"68","19282"
"69","19319"
"70","19601"
"71","19812"
"72","20299"
"73","20300"
"74","20611"
"75","20724"
"76","20734"
"77","20755"
"78","20853"
"79","20913"
"80","21293"
"81","21456"
"82","21644"
"83","21794"
"84","22918"
"85","23501"
"86","23686"
"87","24143"
"88","24285"
"89","25406"
"90","25696"
"91","26012"
"92","26362"
"93","26520"
"94","26559"
"95","26785"
"96","26954"
"97","26969"
"98","27006"
"99","27531"
"100","27644"
"101","27659"
"102","27759"
"103","27883"
"104","28321"
"105","28907"
"106","29012"
"107","29013"
"108","29455"
"109","29628"
"110","29683"
"111","30927"
"112","31130"
"113","31555"
"114","31994"
"115","32023"
"116","32037"
"117","32100"
"118","32289"
"119","32331"
"120","32965"
"121","32969"
"122","33009"
"123","33223"
"124","34760"
"125","35526"
"126","36121"
"127","36133"
"128","36442"
"129","36647"
"130","36703"
"131","38638"
"132","38663"
"133","39267"
"134","39282"
"135","39593"
"136","39704"
"137","40039"
"138","40453"
"139","41348"
"140","41513"
"141","42580"
"142","43957"
"143","44221"
"144","44229"
"145","44288"
"146","44506"
"147","45393"
"148","45542"
"149","45556"
"150","45910"
"151","45936"
"152","45940"
"153","46544"
"154","46723"
"155","46911"
"156","47199"
"157","47362"
"158","47370"
"159","48719"
"160","50447"
"161","51438"
"162","51572"
"163","53196"
"164","53470"
"165","54158"
"166","54453"
"167","54466"
"168","54508"
"169","54544"
"170","54626"
"171","54860"
"172","55467"
"173","55668"
"174","55737"
"175","55959"
"176","55982"
"177","56467"
"178","56525"
"179","56859"
"180","57297"
"181","57468"
"182","57618"
"183","57740"
"184","57754"
"185","57874"
"186","58059"
