fid,id
"1","5238"
"2","5295"
"3","7801"
"4","9783"
"5","12048"
"6","12937"
"7","12940"
"8","14287"
"9","14377"
"10","15341"
"11","17693"
"12","18728"
"13","19169"
"14","19601"
"15","19812"
"16","21794"
"17","25406"
"18","27644"
"19","28321"
"20","29683"
"21","30927"
"22","31555"
"23","32331"
"24","36703"
"25","38638"
"26","41513"
"27","44221"
"28","45542"
"29","47370"
"30","48719"
"31","50447"
"32","54860"
"33","55737"
"34","55982"
"35","57740"
"36","60164"
"37","61492"
"38","61509"
"39","62095"
"40","63913"
"41","64000"
"42","65019"
"43","66275"
"44","66741"
"45","68900"
"46","69894"
"47","71010"
"48","86215"
"49","89621"
"50","102995"
"51","110739"
"52","112359"
"53","114229"
"54","120362"
"55","134934"
"56","135393"
"57","135465"
"58","141984"
"59","144087"
"60","145994"
"61","157673"
"62","159749"
"63","159815"
"64","160609"
"65","161394"
"66","164989"
"67","167013"
"68","170761"
"69","172870"
"70","174527"
"71","176135"
"72","177421"
"73","177495"
"74","179741"
"75","180507"
"76","180792"
"77","182069"
"78","187986"
"79","189732"
"80","190542"
"81","193393"
"82","193853"
"83","194154"
"84","195123"
"85","199195"
"86","200955"
"87","203901"
"88","205735"
"89","212178"
"90","213330"
"91","215784"
"92","221043"
"93","221618"
"94","224006"
"95","225887"
"96","228925"
"97","233638"
"98","235651"
"99","236671"
"100","241140"
"101","243229"
"102","246938"
"103","249414"
"104","250801"
"105","251262"
"106","252076"
"107","252607"
"108","254409"
"109","255957"
"110","256078"
"111","257568"
"112","257787"
"113","261259"
"114","261344"
"115","261674"
"116","261781"
"117","262478"
"118","262583"
"119","265145"
"120","265912"
"121","266437"
"122","266449"
"123","268392"
"124","270231"
"125","271950"
"126","273190"
"127","274062"
"128","274376"
"129","278145"
"130","278876"
"131","283272"
"132","287839"
"133","287845"
"134","289703"
"135","289958"
"136","292047"
"137","292121"
"138","294250"
"139","294353"
"140","296345"
"141","296844"
"142","298073"
"143","299078"
"144","301034"
"145","303345"
"146","306702"
"147","310338"
"148","320865"
"149","321136"
"150","322974"
"151","323706"
"152","324800"
"153","342027"
"154","344068"
"155","350168"
"156","351859"
"157","353317"
"158","359982"
"159","360400"
"160","363320"
"161","378460"
"162","386799"
"163","393682"
"164","394235"
"165","396636"
"166","401579"
"167","411336"
"168","411918"
"169","413504"
"170","413876"
"171","417685"
"172","419792"
"173","428226"
"174","430427"
"175","430665"
"176","432090"
"177","435774"
"178","437352"
"179","439750"
"180","442649"
"181","446367"
"182","450577"
"183","453255"
"184","454763"
"185","456457"
"186","462454"
"187","476983"
"188","478949"
"189","479263"
"190","486350"
"191","489365"
"192","494937"
"193","501041"
"194","501693"
"195","503790"
"196","504394"
"197","505231"
"198","514548"
"199","516452"
"200","519310"
"201","522081"
"202","525293"
"203","525388"
"204","525412"
"205","530247"
"206","531258"
"207","532288"
"208","532749"
"209","533927"
"210","535352"
"211","539160"
"212","545261"
"213","545651"
"214","548184"
"215","550858"
"216","552639"
"217","564184"
"218","564447"
"219","570218"
"220","573612"
"221","573795"
"222","575061"
"223","581180"
"224","581421"
"225","587698"
"226","591135"
"227","591565"
"228","593292"
"229","594640"
"230","599595"
"231","600775"
"232","602888"
"233","607781"
"234","607891"
"235","610118"
"236","610596"
"237","613528"
"238","623423"
"239","627432"
"240","637716"
"241","640691"
"242","642682"
"243","646147"
"244","647520"
"245","649561"
"246","651375"
"247","652371"
"248","656281"
"249","657005"
"250","657217"
"251","661814"
"252","675793"
"253","680104"
"254","683681"
"255","685435"
"256","689900"
"257","690516"
"258","690934"
"259","692567"
"260","698162"
"261","698298"
"262","698327"
"263","704838"
"264","708637"
"265","710283"
"266","725509"
"267","726692"
"268","728498"
"269","731316"
"270","735890"
"271","739815"
"272","741783"
"273","742026"
